"Time stamp","Value","Events","Comment","User"
"2022/03/02 15:30:00","12 669 608,60","","",""
"2022/03/02 15:00:00","12 669 389,23","","",""
"2022/03/02 14:30:00","12 669 170,92","","",""
"2022/03/02 14:00:00","12 668 952,63","","",""
"2022/03/02 13:30:00","12 668 735,15","","",""
"2022/03/02 13:00:00","12 668 516,60","","",""
"2022/03/02 12:30:00","12 668 298,58","","",""
"2022/03/02 12:00:00","12 668 080,26","","",""
"2022/03/02 11:30:00","12 667 861,92","","",""
"2022/03/02 11:00:00","12 667 643,64","","",""
"2022/03/02 10:30:00","12 667 425,48","","",""
"2022/03/02 10:00:00","12 667 207,55","","",""
"2022/03/02 09:30:00","12 666 989,66","","",""
"2022/03/02 09:00:00","12 666 771,69","","",""
"2022/03/02 08:30:00","12 666 553,95","","",""
"2022/03/02 08:00:00","12 666 335,98","","",""
"2022/03/02 07:30:00","12 666 118,37","","",""
"2022/03/02 07:00:00","12 665 901,64","","",""
"2022/03/02 06:30:00","12 665 684,11","","",""
"2022/03/02 06:00:00","12 665 467,15","","",""
"2022/03/02 05:30:00","12 665 250,58","","",""
"2022/03/02 05:00:00","12 665 033,85","","",""
"2022/03/02 04:30:00","12 664 817,18","","",""
"2022/03/02 04:00:00","12 664 599,99","","",""
"2022/03/02 03:30:00","12 664 383,57","","",""
"2022/03/02 03:00:00","12 664 166,43","","",""
"2022/03/02 02:30:00","12 663 949,91","","",""
"2022/03/02 02:00:00","12 663 732,53","","",""
"2022/03/02 01:30:00","12 663 515,97","","",""
"2022/03/02 01:00:00","12 663 298,36","","",""
"2022/03/02 00:30:00","12 663 081,24","","",""
"2022/03/02 00:00:00","12 662 863,88","","",""
"2022/03/01 23:30:00","12 662 646,89","","",""
"2022/03/01 23:00:00","12 662 428,44","","",""
"2022/03/01 22:30:00","12 662 210,81","","",""
"2022/03/01 22:00:00","12 661 993,48","","",""
"2022/03/01 21:30:00","12 661 775,13","","",""
"2022/03/01 21:00:00","12 661 557,32","","",""
"2022/03/01 20:30:00","12 661 339,01","","",""
"2022/03/01 20:00:00","12 661 120,63","","",""
"2022/03/01 19:30:00","12 660 902,44","","",""
"2022/03/01 19:00:00","12 660 685,33","","",""
"2022/03/01 18:30:00","12 660 466,88","","",""
"2022/03/01 18:00:00","12 660 248,69","","",""
"2022/03/01 17:30:00","12 660 031,44","","",""
"2022/03/01 17:00:00","12 659 812,87","","",""
"2022/03/01 16:30:00","12 659 595,15","","",""
"2022/03/01 16:00:00","12 659 377,37","","",""
"2022/03/01 15:30:00","12 659 159,23","","",""
"2022/03/01 15:00:00","12 658 940,99","","",""
"2022/03/01 14:30:00","12 658 724,03","","",""
"2022/03/01 14:00:00","12 658 506,07","","",""
"2022/03/01 13:30:00","12 658 288,65","","",""
"2022/03/01 13:00:00","12 658 070,31","","",""
"2022/03/01 12:30:00","12 657 852,31","","",""
"2022/03/01 12:00:00","12 657 633,88","","",""
"2022/03/01 11:30:00","12 657 416,75","","",""
"2022/03/01 11:00:00","12 657 198,83","","",""
"2022/03/01 10:30:00","12 656 980,17","","",""
"2022/03/01 10:00:00","12 656 762,07","","",""
"2022/03/01 09:30:00","12 656 543,94","","",""
"2022/03/01 09:00:00","12 656 325,28","","",""
"2022/03/01 08:30:00","12 656 107,83","","",""
"2022/03/01 08:00:00","12 655 889,58","","",""
"2022/03/01 07:30:00","12 655 672,53","","",""
"2022/03/01 07:00:00","12 655 455,12","","",""
"2022/03/01 06:30:00","12 655 237,95","","",""
"2022/03/01 06:00:00","12 655 021,47","","",""
"2022/03/01 05:30:00","12 654 804,99","","",""
"2022/03/01 05:00:00","12 654 587,62","","",""
"2022/03/01 04:30:00","12 654 371,46","","",""
"2022/03/01 04:00:00","12 654 154,72","","",""
"2022/03/01 03:30:00","12 653 938,44","","",""
"2022/03/01 03:00:00","12 653 721,69","","",""
"2022/03/01 02:30:00","12 653 504,64","","",""
"2022/03/01 02:00:00","12 653 287,89","","",""
"2022/03/01 01:30:00","12 653 071,54","","",""
"2022/03/01 01:00:00","12 652 854,41","","",""
"2022/03/01 00:30:00","12 652 637,27","","",""
"2022/03/01 00:00:00","12 652 420,45","","",""
"2022/02/28 23:30:00","12 652 202,12","","",""
"2022/02/28 23:00:00","12 651 984,48","","",""
"2022/02/28 22:30:00","12 651 766,98","","",""
"2022/02/28 22:00:00","12 651 549,16","","",""
"2022/02/28 21:30:00","12 651 331,41","","",""
"2022/02/28 21:00:00","12 651 113,18","","",""
"2022/02/28 20:30:00","12 650 894,21","","",""
"2022/02/28 20:00:00","12 650 676,01","","",""
"2022/02/28 19:30:00","12 650 457,61","","",""
"2022/02/28 19:00:00","12 650 239,67","","",""
"2022/02/28 18:30:00","12 650 021,50","","",""
"2022/02/28 18:00:00","12 649 803,14","","",""
"2022/02/28 17:30:00","12 649 585,29","","",""
"2022/02/28 17:00:00","12 649 367,71","","",""
"2022/02/28 16:30:00","12 649 149,88","","",""
"2022/02/28 16:00:00","12 648 931,91","","",""
"2022/02/28 15:30:00","12 648 713,73","","",""
"2022/02/28 15:00:00","12 648 496,08","","",""
"2022/02/28 14:30:00","12 648 277,04","","",""
"2022/02/28 14:00:00","12 648 059,07","","",""
"2022/02/28 13:30:00","12 647 841,13","","",""
"2022/02/28 13:00:00","12 647 622,30","","",""
"2022/02/28 12:30:00","12 647 404,59","","",""
"2022/02/28 12:00:00","12 647 186,20","","",""
"2022/02/28 11:30:00","12 646 968,41","","",""
"2022/02/28 11:00:00","12 646 750,24","","",""
"2022/02/28 10:30:00","12 646 531,65","","",""
"2022/02/28 10:00:00","12 646 313,94","","",""
"2022/02/28 09:30:00","12 646 095,72","","",""
"2022/02/28 09:00:00","12 645 878,13","","",""
"2022/02/28 08:30:00","12 645 660,77","","",""
